id_produto|id_avaliacoes|id_comentario|rating_do_comentario|quantidade_avaliacoes_do_produto|comentario_about_produto|data_coleta
80054742|80054742|68ea88d327ae04a3a6680c51|5|2308|O smartphone parece ser muito bom apesar de ainda está conhecendo.|2025-10-22 21:16:16
80054742|80054742|68ac9172bbb755975d29447a|5|2308|Achei uma ótima escolha. Muito útil para trabalhar, estudar, ou simplesmente curtir. Ótimo design, peso, armazenamento, câmera, velocidade, bateria, recursos avançados próprio do celular.|2025-10-22 21:16:16
80054742|80054742|68b60274312495cfd879bd61|5|2308|Muito bom e entrega super rápida no mesmo dia.|2025-10-22 21:16:16
80054742|80054742|68ac9190bbb755975d29ab31|5|2308|Excelente produto.|2025-10-22 21:16:16
80054742|80054742|68ac9172bbb755975d293822|4|2308|Ótimo|2025-10-22 21:16:16
80054742|80054742|68aca282bbb755975d836816|5|2308|Muito bom|2025-10-22 21:16:16
80054742|80054742|68af460e3bd5727cec55e832|5|2308|Samsung é uma ótima marca de qualidade e eu sempre usei os aparelhos da Samsung até os mais baratos são de qualidade super recomendo a todos comprarem.|2025-10-22 21:16:16
80054742|80054742|68ac9173bbb755975d298d17|4|2308|O produto é bom|2025-10-22 21:16:16
80054742|80054742|68ea8e265c0b741cc014d702|5|2308|Excelente produto, comprei para minha mãe e ela gostou muito, super fácil de mexer,|2025-10-22 21:16:16
80054742|80054742|68c9975a0966e469b48194ab|5|2308|Chegou adiantado, ele é muito lindo, boa imagem e veio bem embalado, o preço está ótimo e está tudo ok, gosto dessa marca e espero não ter nenhum problema, pois nunca tive.|2025-10-22 21:16:16
80054742|80054742|68ac9148bbb755975d289456|5|2308|Excelente!! super recomendo|2025-10-22 21:16:16
80054742|80054742|68ac9172bbb755975d292162|5|2308|Muito bonito|2025-10-22 21:16:16
80054742|80054742|68ac912dbbb755975d282658|5|2308|Atendimento e produto de qualidade!|2025-10-22 21:16:16
80054742|80054742|68d9bb84500c7db0dca77669|5|2308|Aparelho bom|2025-10-22 21:16:16
80054742|80054742|68d43678658482ed38187389|5|2308|Celular e muito bom minha filha amor 😍|2025-10-22 21:16:16
80054742|80054742|68d1d373869f4e26ddfee82f|5|2308|O meu pedido chegou rápido.no prazo☺ celular é lindo comprei pro meu Marido.ele simplemente amou vou comprar outro .Só que dessa vez vai ser pra mim☺😍|2025-10-22 21:16:16
80054742|80054742|68cfffcf4db6f29a41a9725e|5|2308|Gostei muito de Cell, do jeito do anúncio, bem levinho , fácil de configurar|2025-10-22 21:16:16
80054742|80054742|68c1ba0ff313ab2b170a6205|5|2308|Amei, excelente aparelho, bastante memória. Nem se fala do preço. Adorei ❤️❤️|2025-10-22 21:16:16
80054742|80054742|68af47d53bd5727cec55fc14|5|2308|E muito bom|2025-10-22 21:16:16
80054742|80054742|68ac9149bbb755975d28cc82|5|2308|Top bom ótimo desempenho recomendo muito ótimo valor|2025-10-22 21:16:16
80054742|80054742|68ac9149bbb755975d28e477|5|2308|Bom, tamanho grande, câmera mediana, memória boa, para uso básico está dando certo.|2025-10-22 21:16:16
80054742|80054742|68ac9172bbb755975d29264f|5|2308|Chegou rápido, ele é perfeito para para o que eu preciso, vou usar pra trabalhar|2025-10-22 21:16:16
80054742|80054742|68ac9111bbb755975d27e50f|5|2308|Ótimo produto, processador octa-core,Azul escuro ,não trava ,fotos e vídeos ficam ótimas.|2025-10-22 21:16:16
80054742|80054742|68ac912cbbb755975d280ba0|5|2308|Bom dia muito bom mesmo|2025-10-22 21:16:16
80054742|80054742|68ac912dbbb755975d283643|4|2308|De acordo com o anuncio, chegou super rapido|2025-10-22 21:16:16
80054742|80054742|68ac912dbbb755975d283fe0|5|2308|Comprei para a minha mãe e ela amou! Bem rápido e não trava!|2025-10-22 21:16:16
80054742|80054742|68ac912dbbb755975d286127|5|2308|É um ótimo produto e com um custo beneficio maravilhoso.|2025-10-22 21:16:16
80054742|80054742|68ac912dbbb755975d286ed4|5|2308|Superou as expectativas! Meu marido adorou o celular é um excelente custo benefício!|2025-10-22 21:16:16
80054742|80054742|68ac90edbbb755975d27486b|5|2308|O produto é ótimo|2025-10-22 21:16:16
80054742|80054742|68ac90edbbb755975d2760cf|5|2308|Gostei muito|2025-10-22 21:16:16
80054742|80054742|68ac90edbbb755975d2764f9|5|2308|Um aparelho ótimo, pelo custo benefício É uma pena que não tenha o fone de ouvido|2025-10-22 21:16:16
80054742|80054742|68ac90edbbb755975d276d54|5|2308|É um produto de ótima qualidade|2025-10-22 21:16:16
80054742|80054742|68ac90edbbb755975d277300|5|2308|Muito bom melhor do que eu imaginava|2025-10-22 21:16:16
80054742|80054742|68ac9111bbb755975d278cea|5|2308|Maravilhoso,muitos recursos tecnologia,primeira linha.|2025-10-22 21:16:16
80054742|80054742|68ac9111bbb755975d27a194|5|2308|Top aparelho muito bom|2025-10-22 21:16:16
80054742|80054742|68ac9111bbb755975d27baf9|5|2308|Excelente, custo e benefício Minha irmã amou|2025-10-22 21:16:16
80054742|80054742|68ac90c0bbb755975d267916|5|2308|Gostei bastante do celular, foi presente para minha mãe e ela amou. A entrega foi bem rápida e o aparelho chegou em perfeito estado.|2025-10-22 21:16:16
80054742|80054742|68ac90c0bbb755975d268a47|5|2308|Comprei de presente para meu marido e ele gostou muito. Celular bonito ótimo funcionamento, em breve vou comprar um pra mim. Recomendo!|2025-10-22 21:16:16
80054742|80054742|68ac90c0bbb755975d269668|5|2308|Top lindo demais ? parabéns e bem grande ele cumpre oq promete passou três dias sendo usado e ainda não descarregou|2025-10-22 21:16:16
80054742|80054742|68ac90c0bbb755975d26da13|5|2308|Camera ótima Bom custo benefício Entrega rápida Fácil navegação Perfeito|2025-10-22 21:16:16
80054742|80054742|68ac90c0bbb755975d26db95|5|2308|Ótimos|2025-10-22 21:16:16
80054742|80054742|68ac90c0bbb755975d26e8e6|5|2308|Produto de boa qualidade|2025-10-22 21:16:16
80054742|80054742|68ac90edbbb755975d272a8b|5|2308|Produto muito bom, cumpre o que o amuncio diz, fiquei bem satisfeita. Recomendo.|2025-10-22 21:16:16
80054742|80054742|68ac90c0bbb755975d26eb7c|5|2308|Otimo|2025-10-22 21:16:16
80054742|80054742|68ac907fbbb755975d26117a|5|2308|Lindo.....fácil manuseio......Boa memória....ótimo preço|2025-10-22 21:16:16
80054742|80054742|68f829a4b9431e9bc5b6451b|4|2308|E um celular bom|2025-10-22 21:16:16
80054742|80054742|68f7a0937dbe728613a89e52|5|2308|Chegou no prazo!bem embalado, a funcionalidade é muito boa 👍 câmera tbm gostei ,preço bom super indico .|2025-10-22 21:16:16
80054742|80054742|68f6c5ff7069c07729e7a0c4|5|2308|Bom|2025-10-22 21:16:16
80054742|80054742|68f6a7197069c07729c101be|5|2308|Excelente, estou muito feliz e satisfeito, obrigado|2025-10-22 21:16:16
80054742|80054742|68f68e5f7dbe728613b1c27e|1|2308|NÃO RECEBI O CELULARRRRRRR|2025-10-22 21:16:16
